name,platform,year_of_release,genre,sales
X2: Wolverine's Revenge,PS2,2003,Platform,0.31
NBA Live 06,XB,2005,Sports,0.57
Tom Clancy's Rainbow Six,N64,1999,Shooter,0.48
Castlevania,N64,1999,Platform,0.44
Rayman 2: The Great Escape,N64,1999,Platform,0.4
Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004,Misc,0.46
Rayman 3D,3DS,2011,Platform,0.23
Football Manager 2014,PC,2013,Sports,0
New Play Control! Pikmin,Wii,2008,Strategy,0.28
TimeSplitters 2,XB,2002,Shooter,0.29
Onimusha: Dawn of Dreams,PS2,2006,Action,0.15
Sengoku Basara: Samurai Heroes,PS3,2010,Action,0.17
Stuntman: Ignition,X360,2007,Racing,0.25
Real Heroes: Firefighter,Wii,2009,Action,0.56
Dishonored 2,PS4,2016,Action,0.22
Up,DS,2009,Action,0.3
SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,2004,Misc,0.46
Konami Collector's Series: Arcade Advanced,GBA,2002,Misc,0.46
The Crew,XOne,2014,Racing,0.25
Dragon Ball: Raging Blast 2,X360,2010,Fighting,0.49
Jampack Volume 13 (RP-T),PS2,2005,Misc,0.31
Madden NFL 2001,N64,2000,Sports,0.6
Cruis'n World,N64,1998,Racing,0.59
NHL 13,PS3,2012,Sports,0.33
Dead or Alive 5,PS3,2012,Fighting,0.23
Evolve,XOne,2015,Shooter,0.37
Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,0.31
Lost Planet: Extreme Condition,PS3,2008,Shooter,0.31
X-Men Legends II: Rise of Apocalypse,PS2,2005,Role-Playing,0.53
Nightmare Creatures,PS,1997,Action,0.35
LittleBigPlanet 3,PS3,2014,Platform,0.2
SingStar Queen,PS2,2009,Misc,0.08
LEGO Star Wars II: The Original Trilogy,X360,2006,Action,0.55
Disney Sing It: Party Hits,Wii,2010,Misc,0.48
Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,0
Rock Band 3,Wii,2010,Misc,0.53
Dragon Age II,PC,2011,Action,0.23
Tony Hawk's Pro Skater 2x,XB,2001,Sports,0.41
NBA Live 08,PS3,2007,Sports,0.56
Sim Theme Park,PS,1999,Strategy,0.35
FIFA Soccer 2003,XB,2002,Sports,0.2
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012,Misc,0
The Lord of the Rings: Conquest,X360,2009,Action,0.37
Far Cry 4,PC,2014,Shooter,0.15
Monster Hunter 2,PS2,,Role-Playing,0
NASCAR 06: Total Team Control,PS2,2005,Racing,0.53
Dogz,GBA,2004,Simulation,0.45
A Bug's Life,N64,1998,Platform,0.49
Super Castlevania IV,SNES,1991,Platform,0.32
Iron Man,PSP,2008,Action,0.46
White Knight Chronicles II,PS3,2010,Role-Playing,0.23
Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003,Fighting,0
Juiced 2: Hot Import Nights,X360,2007,Racing,0.22
Wolfenstein,PS3,2009,Shooter,0.25
The Walking Dead: Survival Instinct,X360,2013,Shooter,0.46
The Sims 3: Generations,PC,2011,Simulation,0.4
Ape Escape 2,PS2,2002,Platform,0.12
Rocksmith 2014,PS4,2014,Misc,0.35
X-Man,2600,1982,Action,0.58
Sega Rally Revo,PS3,2007,Racing,0.07
Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,0.22
FIFA Soccer 2002,PS2,2001,Sports,0.31
Angry Birds Trilogy,3DS,2012,Action,0.38
Final Fantasy VII International,PS,1997,Role-Playing,0
Condemned 2: Bloodshot,X360,2008,Action,0.38
Okami,PS2,2006,Action,0.11
Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,0.18
Crash of the Titans,PSP,2007,Action,0.25
NHL 2001,PS,2000,Sports,0.35
Crysis 3,PC,2013,Shooter,0.17
Buzz Lightyear of Star Command,PS,2000,Platform,0.35
NHL 16,PS4,2015,Sports,0.36
Namco Museum,GC,2002,Misc,0.48
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009,Shooter,0.34
Cabela's Big Game Hunter (2008),Wii,2007,Sports,0.58
Tony Hawk's Project 8,PS3,2006,Sports,0.3
Ghostbusters: The Video Game,X360,2009,Action,0.43
XCOM: Enemy Unknown,X360,2012,Strategy,0.36
Nobunaga no Yabou: Haouden,SNES,1993,Strategy,0.3
Virtua Cop,SAT,1995,Shooter,0
Metal Gear Solid 2: Substance,XB,,Action,0.38
Tony Hawk's American Wasteland,XB,2005,Sports,0.4
WWF in Your House,PS,1996,Fighting,0.35
Wild ARMs 3,PS2,2002,Role-Playing,0.16
NBA ShootOut '97,PS,1997,Sports,0.35
Family Feud: 2010 Edition,Wii,2009,Misc,0.58
Madden NFL 07,GC,2006,Sports,0.48
LEGO Jurassic World,3DS,2015,Action,0.31
Battlezone,2600,1982,Shooter,0.58
Tiger Woods PGA Tour 2004,XB,2003,Sports,0.47
Test Drive Unlimited 2,PS3,,Racing,0.16
Tak 2: The Staff of Dreams,PS2,2004,Platform,0.3
Just Dance 3,PS3,2011,Misc,0.33
LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,0.29
Donkey Kong Barrel Blast,Wii,2007,Racing,0.19
The Princess and the Frog,DS,2009,Platform,0.41
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,0.27
Viewtiful Joe,GC,2003,Action,0.38
The Urbz: Sims in the City,GBA,2004,Simulation,0.37
Beetle Adventure Racing!,N64,1999,Racing,0.4
Guitar Hero: Metallica,PS3,2009,Misc,0.28
Disney's 102 Dalmatians: Puppies to the Rescue,PS,2000,Platform,0.34
Strike Force Bowling,PS2,2004,Sports,0.3
Halloween,2600,1982,Action,0.58
Red Steel 2,Wii,2010,Shooter,0.35
Bass Landing,PS,1999,Sports,0.21
XGRA: Extreme G-Racing Association,PS2,2004,Racing,0.3
Mafia III,XOne,2016,Action,0.28
Bolt,DS,2008,Adventure,0.35
Mario's Picross,GB,1995,Puzzle,0
Pac-Man Player's Choice Bundle,GC,2003,Misc,0.48
Fighters MEGAMiX,SAT,1996,Fighting,0
Bahamut Lagoon,SNES,1996,Role-Playing,0
Prince of Persia: The Forgotten Sands,X360,2010,Action,0.3
Warriors Orochi 3,PS3,2011,Action,0
Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,0.59
DJ Hero 2,Wii,2010,Misc,0.48
Toshochu: Run for Money,3DS,2012,Adventure,0
Dragon Quest Monsters: Joker 2 Professional,DS,2011,Role-Playing,0
NFL Quarterback Club 99,N64,1998,Sports,0.59
Super Robot Taisen α Gaiden,PS,2001,Strategy,0
Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,0.4
Battle of Giants: Dragons,DS,2009,Strategy,0.3
Wall-E,X360,2008,Platform,0.29
Start the Party!,PS3,2010,Misc,0.07
Formula 1: Championship Edition,PS3,2006,Racing,0
Harry Potter and the Half-Blood Prince,DS,2009,Action,0.2
NieR,PS3,2010,Role-Playing,0.17
2014 FIFA World Cup Brazil,PS3,2014,Sports,0.15
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,0.3
NBA 2K9,PS3,2008,Sports,0.56
SpongeBob's Atlantis SquarePantis,Wii,2007,Action,0.56
SingStar Singalong With Disney,PS2,2008,Misc,0
NFL Fever 2003,XB,2002,Sports,0.46
Samurai Warriors 2,PS2,2006,Action,0.02
Wet,PS3,2009,Shooter,0.22
Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,0.5
Scribblenauts: Unlimited,3DS,2012,Action,0.56
The Black Eyed Peas Experience,Wii,2011,Misc,0.37
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,0.44
Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,0.29
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,0.21
Metroid Prime: Trilogy,Wii,2009,Shooter,0.42
Robotech: Battlecry,PS2,2002,Shooter,0.3
Dora the Explorer: Super Spies,GBA,2004,Platform,0.44
Disney Universe,PS3,2011,Action,0.3
Advance Wars: Days of Ruin,DS,,Strategy,0.43
Jak and Daxter: The Lost Frontier,PSP,2009,Platform,0.18
Texas Hold 'Em Poker,GBA,2004,Misc,0.44
Time Crisis 3,PS2,2003,Shooter,0.3
WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,0.25
Vanquish,PS3,2010,Shooter,0.21
Ganbaru Watashi no Kakei Diary,DS,2007,Misc,0
Tearaway,PSV,2013,Adventure,0.14
Small Soldiers,PS,1998,Platform,0.34
Half-Life 2,XB,2005,Shooter,0.37
Duke Nukem: Total Meltdown,PS,1997,Shooter,0.34
Tony Hawk: RIDE,X360,2009,Sports,0.46
Borderlands: The Pre-Sequel,PS3,2014,Shooter,0.26
Major League Baseball 2K8,X360,2008,Sports,0.56
Sacred 2: Fallen Angel,PS3,2009,Role-Playing,0.22
pro evolution soccer 2011,X360,2010,Sports,0.09
Major League Baseball 2K9,X360,2009,Sports,0.56
Final Fantasy IV Advance,GBA,2005,Role-Playing,0.27
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,0.27
Madden NFL 2003,GBA,2002,Sports,0.44
Tomb Raider (2013),XOne,2014,Action,0.35
Petz: Dogz Pack,DS,2008,Simulation,0.56
Harry Potter and the Goblet of Fire,GBA,2005,Action,0.44
Tomb Raider Chronicles,PS,1999,Action,0.34
Dragon Ball Z: Buu's Fury,GBA,2004,Action,0.44
Madden NFL 2002,GC,2001,Sports,0.47
Spider-Man: Mysterio's Menace,GBA,2001,Action,0.43
Madden NFL 2000,N64,1999,Sports,0.58
Game & Watch Gallery 4,GBA,2002,Misc,0.43
MySims Racing,DS,2009,Racing,0.25
Naruto: Ultimate Ninja,PS2,2003,Fighting,0.5
Pac-Man Party,Wii,2010,Misc,0.47
Cabela's Monster Buck Hunter,Wii,2010,Sports,0.57
Tony Hawk's Underground,GBA,2003,Sports,0.43
Dark Souls II,PS4,2015,Role-Playing,0.21
Monster Trucks,GBA,2004,Racing,0.43
World of Zoo,Wii,2009,Simulation,0.4
Shadow The Hedgehog,PS2,2005,Platform,0.5
Wave Race: Blue Storm,GC,2001,Racing,0.4
Aliens: Colonial Marines,PS3,2013,Shooter,0.2
Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,0.3
Yakuza: Dead Souls,PS3,2011,Shooter,0.09
Fight Night Round 2,XB,2005,Fighting,0.42
MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,0
Dead Island: Riptide,PS3,2013,Action,0.26
Just Dance 2015,X360,2014,Misc,0.42
Kinect Sports Rivals,XOne,2014,Sports,0.3
NBA 2K8,PS2,2007,Sports,0.5
Dynasty Warriors 8,PS3,2013,Action,0.12
Suikoden,PS,1995,Role-Playing,0.21
Disney Infinity,WiiU,2013,Action,0.33
Secret Agent Clank,PS2,2009,Platform,0.13
Call of Juarez: Bound in Blood,X360,2009,Shooter,0.3
Fighters Uncaged,X360,2010,Fighting,0.31
Rayman Arena,PS2,2001,Racing,0.29
Jaws Unleashed,PS2,2006,Action,0.5
Puyo Puyo Sun,SAT,1997,Puzzle,0
Half-Life,PS2,2001,Shooter,0.29
International Superstar Soccer 64,N64,1997,Sports,0.09
Mickey's Speedway USA,N64,2000,Racing,0.37
NASCAR Heat 2002,PS2,2001,Racing,0.29
Split/Second,X360,2010,Racing,0.32
The Golden Compass,DS,2007,Action,0.28
The Golden Compass,Wii,,Action,0.26
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,0.51
From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,0
BeatMania Append 3rdMix,PS,1998,Simulation,0
Muramasa: The Demon Blade,Wii,2009,Role-Playing,0.32
Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,0.37
 Frozen: Olaf's Quest,3DS,2013,Platform,0.27
Xena: Warrior Princess,PS,1998,Adventure,0.33
Littlest Pet Shop: Garden,DS,2008,Simulation,0.31
Okami,Wii,2008,Action,0.43
New Play Control! Pikmin 2,Wii,2009,Strategy,0.11
LEGO The Hobbit,PS4,2014,Action,0.13
Front Mission,SNES,1995,Strategy,0
WWE 2K17,PS4,2016,Sports,0.17
Just Dance 2014,WiiU,2013,Misc,0.31
New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,0.23
Wipeout: The Game,DS,2010,Misc,0.56
Avatar: The Game,PSP,2009,Action,0.22
NHL 15,PS4,2014,Sports,0.31
Total War: Shogun 2,PC,2011,Strategy,0.19
Major League Baseball 2K7,PS2,2007,Sports,0.29
Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,0
PGR3 - Project Gotham Racing 3,X360,2005,Racing,0.49
Dragon Age: Inquisition,PS3,2014,Role-Playing,0.27
SimCity DS,DS,2007,Simulation,0.33
New Carnival Games,Wii,2010,Misc,0.33
Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,0.29
Littlest Pet Shop: Jungle,DS,2008,Simulation,0.34
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,Strategy,0
FIFA 15,PSV,2014,Sports,0.08
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Sports,0
Monopoly,X360,2008,Misc,0.34
Tony Hawk: RIDE,PS3,2009,Sports,0.38
CyberTiger,PS,1998,Sports,0.33
Jampack Fall 2001,PS,2001,Misc,0.33
Medal of Honor: Frontline,GC,2002,Shooter,0.46
Dead Space,PC,2008,Action,0
NFL Blitz 2001,PS,2000,Sports,0.33
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,0
Rock Band 2,PS2,2008,Misc,0.29
NHL 11,PS3,2010,Sports,0.4
Yakuza 5,PS3,2012,Action,0
BurgerTime,2600,1981,Puzzle,0.55
2002 FIFA World Cup,PS2,2002,Sports,0.21
MVP Baseball 2004,XB,2004,Sports,0.44
Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,0.46
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,0.55
Beijing 2008,X360,2008,Sports,0.15
Pokemon Trozei!,DS,2005,Puzzle,0.25
WWE 2K16,XOne,2015,Sports,0.32
Extreme-G,N64,1997,Racing,0.47
Ready 2 Rumble Boxing,N64,1999,Sports,0.47
Assassin's Creed: Brotherhood,PC,2011,Action,0.15
Spelling Challenges and more!,DS,2007,Misc,0.54
Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,0.36
Tales of Rebirth,PS2,2004,Role-Playing,0
Silent Hill: Shattered Memories,PS2,2010,Action,0.13
Disney Sing It: Family Hits,Wii,2010,Misc,0.38
Blur,X360,2010,Racing,0.25
Barbie: Race & Ride,PS,1999,Action,0.33
Kane & Lynch 2: Dog Days,PS3,2010,Shooter,0.17
Madden NFL 06,X360,,Sports,0.54
Asphalt: Urban GT,DS,2004,Racing,0.31
Mega Man Anniversary Collection,PS2,2004,Platform,0.29
Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,0.14
Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,0.34
Backyard NBA Basketball,PS2,2003,Sports,0.29
Ben 10: Alien Force,PSP,2008,Action,0.35
Naruto: The Broken Bond,X360,2008,Action,0.24
Kirby's Dream Course,SNES,1994,Sports,0
WarioWare D.I.Y.,DS,2009,Misc,0.17
Iron Man,Wii,2008,Action,0.3
The Fight: Lights Out,PS3,2010,Fighting,0.29
Mega Man X7,PS2,2003,Action,0.22
Deus Ex: Human Revolution,PC,2011,Shooter,0.25
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,0.29
Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,0.39
LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,0.21
SoulCalibur V,X360,2012,Fighting,0.39
Tokimeki Memorial: Forever with You,PS,1995,Simulation,0
Diablo,PS,1997,Role-Playing,0.29
Q*bert,2600,1982,Puzzle,0.55
Romancing SaGa,PS2,2005,Role-Playing,0.06
Lost: Via Domus,X360,2008,Action,0.18
Top Spin 3,Wii,2008,Action,0.15
Game Party in Motion,X360,2010,Misc,0.36
The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,0.49
Call of Duty: Black Ops,DS,2010,Shooter,0.5
Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,0.31
NCAA Football 09,PS3,2008,Sports,0.54
Sonic & All-Stars Racing Transformed,X360,2012,Racing,0.2
MLB 11: The Show,PS3,2011,Sports,0.54
Jeopardy!,Wii,2010,Misc,0.55
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,0.38
Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,0.38
Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,0.32
Skylanders SWAP Force,WiiU,2013,Platform,0.38
Terminator 3: Rise of the Machines,PS2,2003,Action,0.28
Guitar Hero: Smash Hits,Wii,2009,Misc,0.31
Tom Clancy's HAWX,X360,2009,Action,0.31
Alice: Madness Returns,PS3,2011,Adventure,0.22
Shin Megami Tensei IV,3DS,2013,Role-Playing,0.28
NBA 2K7,X360,2006,Sports,0.53
International Superstar Soccer '98,N64,1998,Sports,0.06
FIFA: Road to  World Cup 98,N64,1997,Sports,0.15
World Cup 98,N64,1998,Sports,0.14
NHL 12,PS3,2011,Sports,0.36
NASCAR: Dirt to Daytona,PS2,,Racing,0.28
Unreal Tournament,PS2,2000,Shooter,0.28
Digimon World 2,PS,2000,Role-Playing,0.23
Tales of Phantasia,PS,1998,Role-Playing,0
Prince of Persia: The Two Thrones,XB,2005,Action,0.33
Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004,Role-Playing,0.28
Gex: Enter the Gecko,PS,1998,Platform,0.32
Shrek 2: Beg for Mercy,GBA,2004,Adventure,0.42
FIFA Soccer 10,DS,2009,Sports,0.14
JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,0.05
Contra: Shattered Soldier,PS2,2002,Shooter,0.28
Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,0.32
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,0
Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,0.22
Rayman Legends,PS3,2013,Platform,0.14
Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,0
FIFA Soccer,PSV,2012,Sports,0.16
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,0.32
Tony Hawk's Pro Skater 4,GC,2002,Sports,0.45
Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,0.52
Naruto: Uzumaki Chronicles 2,PS2,2006,Action,0.28
NHL 06,PS2,2005,Sports,0.48
Parasite Eve II,PS,1999,Role-Playing,0.32
NFL Blitz 2000,N64,1999,Sports,0.55
Skate it,Wii,2008,Sports,0.5
Pro Evolution Soccer 2015,PS3,2014,Sports,0.1
London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,0.07
Madden NFL 2002,XB,,Sports,0.53
NCAA Football 10,PS2,2009,Sports,0.28
Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,0.35
Theme Park,PS,1994,Simulation,0.24
Far Cry Instincts,XB,2005,Shooter,0.32
Hasbro Family Game Night,PS2,2008,Puzzle,0.28
Tony Hawk's Pro Skater 4,GBA,2002,Sports,0.41
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,0.53
Tales of the Abyss,PS2,2005,Role-Playing,0
Payday 2,X360,2013,Shooter,0.33
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,0
Blacksite: Area 51,X360,2007,Shooter,0.29
Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,0.41
XCOM: Enemy Unknown,PS3,2012,Strategy,0.24
Petz Dogz 2,Wii,2007,Simulation,0.52
Beyond The Beyond,PS,1995,Role-Playing,0.11
Ben 10: Alien Force,PS2,2008,Action,0.22
Skylanders: Spyro's Adventure,3DS,2011,Action,0.32
Cabela's Dangerous Hunts 2011,Wii,2010,Sports,0.52
The Sims 3: World Adventures,PC,2009,Simulation,0.02
Madden NFL 06,GC,2005,Sports,0.44
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,0.24
Titanfall 2,XOne,2016,Shooter,0.37
BlazBlue: Calamity Trigger,PS3,2009,Fighting,0.36
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,0.5
Iron Man,X360,2008,Action,0.27
Naruto: Ultimate Ninja 2,PS2,2004,Fighting,0.47
The Mysterious Murasame Castle,NES,1986,Action,0
NBA Hangtime,N64,1997,Sports,0.48
NHL 10,PS3,2009,Sports,0.38
Zumba Fitness,PS3,2010,Sports,0.28
Rock Band 3,PS3,2010,Misc,0.43
Blood Wake,XB,2001,Shooter,0.43
Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,0.11
Rapala: We Fish,Wii,2009,Sports,0.52
Harvest Moon: Sunshine Islands,DS,2008,Simulation,0.35
WWE 2K15,XOne,2014,Sports,0.29
Jampack Summer 2002,PS2,2002,Misc,0.28
FIFA World Cup Germany 2006,PS2,2006,Sports,0.47
Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,0.42
Super Bomberman,SNES,1992,Puzzle,0
Defiance,X360,2013,Shooter,0.38
Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,0.27
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,0.52
SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,0.45
Doom 3 BFG Edition,PS3,2012,Shooter,0.26
SD Gundam G Generation Neo,PS2,2002,Strategy,0
Spider-Man 3,X360,2007,Platform,0.49
Pro Evolution Soccer 2012,PSP,2011,Action,0.1
The Conduit,Wii,2009,Shooter,0.28
Trivial Pursuit,Wii,2009,Misc,0.2
Just Dance 2016,WiiU,2015,Misc,0.27
Disney Universe,X360,2011,Action,0.37
RalliSport Challenge,XB,2002,Racing,0.39
Resident Evil Outbreak File #2,PS2,2004,Action,0.19
Top Spin 3,PS3,2008,Action,0.08
Bob the Builder: Can We Fix It?,PS,2000,Action,0.31
XIII,PS2,2003,Shooter,0.28
Tomb Raider: Anniversary,PSP,2007,Action,0.21
Bratz 4 Real,DS,2007,Adventure,0.29
Rune Factory 4,3DS,2012,Role-Playing,0.32
3D Dot Game Heroes,PS3,2009,Role-Playing,0.36
Up,Wii,2009,Action,0.22
Breath of Fire IV,PS,2000,Role-Playing,0.11
Tales of Zestiria,PS3,2015,Role-Playing,0.05
True Crime: Streets of LA,GC,2003,Action,0.44
Odin Sphere,PS2,2007,Role-Playing,0.23
Petz Wild Animals: Tigerz,DS,2008,Simulation,0.52
The Incredible Hulk,GBA,2003,Action,0.4
Ms. Pac-Man Maze Madness,GBA,2004,Puzzle,0.4
Xenoblade Chronicles,3DS,2015,Role-Playing,0.27
Titanfall,PC,2014,Shooter,0.22
Arena Football,PS2,2006,Sports,0.28
The Lord of the Rings: The Return of the King,GBA,2003,Action,0.4
NHL Hitz 20-02,PS2,2001,Sports,0.28
The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,0.34
Classic NES Series: Dr. Mario,GBA,2004,Puzzle,0.31
The Sims: Bustin' Out,XB,2003,Simulation,0.4
NCAA March Madness 07,PS2,2007,Sports,0.28
"Monsters, Inc. Scream Team",PS,2001,Platform,0.31
"Warhammer 40,000: Space Marine",X360,2011,Shooter,0.25
Harry Potter Collection,PS2,2006,Misc,0.28
Top Spin 3,X360,2008,Action,0.09
Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004,Misc,0.4
Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,0.28
LEGO Rock Band,X360,2009,Misc,0.4
Knockout Kings 2001,PS2,2001,Fighting,0.28
Army Men: Sarge's Heroes,PS,1999,Action,0.31
Petz Dogz 2,PS2,2007,Simulation,0.28
Battlefield 2: Modern Combat,XB,2005,Shooter,0.39
Tom Clancy's HAWX,PS3,2009,Action,0.21
All-Star Baseball 2002,PS2,2001,Sports,0.27
Backyard NFL Football,GBA,2002,Sports,0.4
Minecraft: Story Mode,XOne,2015,Adventure,0.3
Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,0.51
Need for Speed: Most Wanted,GC,2005,Racing,0.43
NASCAR Rumble,PS,2000,Racing,0.31
Bolt,Wii,2008,Adventure,0.19
WWE Raw 2,XB,2003,Fighting,0.43
Resident Evil 2,N64,1999,Action,0.39
Mega Man X2,SNES,1993,Platform,0.09
Manhunt 2,PS2,2007,Action,0.27
Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,0.15
Tony Hawk's Project 8,PSP,2006,Sports,0.41
Hamtaro: Ham-Hams Unite!,GB,2001,Role-Playing,0
Batman Begins,PS2,2005,Action,0.27
Dogz,DS,2006,Simulation,0.5
Yokai Sangokushi,3DS,2016,Action,0
Tony Hawk's Proving Ground,X360,2007,Sports,0.49
Dr. Seuss' The Cat in the Hat,PS2,2003,Misc,0.27
Barbie Groovy Games,GBA,2002,Misc,0.4
Wolfenstein,X360,2009,Shooter,0.28
Yu-Gi-Oh! Reshef of Destruction,GBA,2003,Strategy,0.4
Blinx: The Time Sweeper,XB,2002,Platform,0.39
ESPN NFL Football,PS2,2003,Sports,0.27
Fatal Fury Special,SNES,1994,Fighting,0
Major League Baseball 2K5,XB,2005,Sports,0.52
Tetris Party Deluxe,Wii,2010,Puzzle,0.33
DS Bimoji Training,DS,2008,Misc,0
Gravity Rush,PSV,2012,Action,0.21
Quantum Break,XOne,2016,Action,0.3
Archer Maclean's Mercury,PSP,2005,Puzzle,0.17
TMNT,X360,2007,Action,0.48
Middle-Earth: Shadow of Mordor,PS3,2014,Action,0.2
Soldier of Fortune: Gold Edition,PS2,2001,Shooter,0.27
FIFA 15,Wii,2014,Sports,0.15
Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,0.13
Frontlines: Fuel of War,X360,2008,Shooter,0.34
MX 2002 Featuring Ricky Carmichael,PS2,2001,Racing,0.27
NCAA Football 07,XB,2006,Sports,0.42
Lunar: Silver Star Story Complete,PS,1998,Role-Playing,0.27
Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,0.25
No More Heroes,Wii,2007,Action,0.29
NBA Showtime: NBA on NBC,PS,1999,Sports,0.31
God of War: Origins Collection,PS3,2011,Action,0.39
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,0.49
Soul Reaver 2,PS2,2001,Action,0.27
Metal Gear Solid 3: Subsistence,PS2,2005,Action,0.34
The Godfather (old US sales),XB,2006,Action,0.42
Enslaved: Odyssey to the West,PS3,2010,Action,0.24
Daytona USA,SAT,1994,Racing,0
WWF Raw,XB,2002,Fighting,0.4
Shin Super Robot Taisen,PS,1996,Role-Playing,0
Jump Super Stars,DS,2005,Fighting,0
Guitar Hero Live,XOne,2015,Misc,0.3
The Activision Decathlon,2600,1982,Sports,0.52
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001,Shooter,0.31
Fighting Force 2,PS,1999,Action,0.31
Sakura Wars,SAT,1996,Adventure,0
Catz,DS,2006,Simulation,0.49
Extermination,PS2,2001,Action,0.21
Batman: Vengeance,PS2,2001,Adventure,0.27
Ratchet & Clank: Quest for Booty,PS3,2008,Platform,0
Derby Stallion 04,PS2,2004,Sports,0
Rapala Tournament Fishing!,Wii,2006,Sports,0.51
Hot Shots Golf: World Invitational,PSV,2011,Sports,0.15
Tony Hawk's Pro Skater 3,XB,2002,Sports,0.34
Mega Man Zero,GBA,2002,Platform,0.22
Contender 2,PS,2000,Fighting,0.31
Resident Evil: Revelations 2,PS4,2015,Action,0.13
Star Wars: Dark Forces,PS,1996,Shooter,0.31
LEGO Dimensions,PS3,2015,Action,0.17
NBA 2K8,PS3,2007,Sports,0.5
